"In the paper, the max shear stress is reported as a range, ie 10-12.5, 12.5-15, but here I just kept the max value",,,
"Pasquale, N., Perona, P., Francis, R., & Burlando, P. (2014). Above-ground and below-ground Salix dynamics in response to river processes. Hydrological Processes, 28(20), 5189–5203. https://doi.org/10.1002/hyp.9993",,,
Max Bed shear stress (Pa),year,plot,Mortality (%)
10,2009,NA,NA
12.5,2009,NA,NA
15,2009,NA,NA
17.5,2009,NA,NA
20,2009,NA,NA
22.5,2009,4,18
22.5,2009,10,18
25,2009,3,44
25,2009,11,44
25,2009,12,44
27.5,2009,7,13
27.5,2009,8,13
30,2009,2,45
30,2009,9,45
30,2009,19,45
30,2009,25,45
30,2009,26,45
32.5,2009,1,35
32.5,2009,5,35
32.5,2009,6,35
32.5,2009,20,35
32.5,2009,21,35
32.5,2009,22,35
32.5,2009,23,35
32.5,2009,24,35
35,2009,16,100
37.5,2009,13,100
37.5,2009,14,100
37.5,2009,17,100
40,2009,15,100
40,2009,18,100
10,2010,NA,NA
12.5,2010,4,33
12.5,2010,16,33
15,2010,3,37
15,2010,7,37
17.5,2010,2,62
17.5,2010,6,62
17.5,2010,15,62
20,2010,5,56
20,2010,8,56
20,2010,11,56
20,2010,12,56
20,2010,13,56
20,2010,14,56
20,2010,26,56
20,2010,27,56
20,2010,29,56
20,2010,32,56
22.5,2010,1,57
22.5,2010,9,57
22.5,2010,17,57
22.5,2010,23,57
22.5,2010,25,57
22.5,2010,28,57
22.5,2010,30,57
22.5,2010,31,57
25,2010,18,69
25,2010,24,69
27.5,2010,10,75
27.5,2010,19,75
27.5,2010,20,75
27.5,2010,22,75
30,2010,21,100
32.5,2010,NA,NA
35,2010,NA,NA
37.5,2010,NA,NA
40,2010,NA,NA
